rank,ticker,strategy_code,template_code,template_label,entry_rule,exit_mode,target_pct,stop_pct,holding_days,state_size,state_signature,feature_keys,m_trades,m_win_pct,m_avg_return_pct,m_profit_factor,m_take_profit,m_stop_loss,m1_trades,m1_win_pct,m1_avg_return_pct,m2_trades,m2_win_pct,m2_avg_return_pct,m3_trades,m3_win_pct,m3_avg_return_pct,v_trades,v_win_pct,v_avg_return_pct,v_profit_factor,o_trades,o_win_pct,o_avg_return_pct,o_profit_factor,wilson_ci95_lower_pct,binomial_p_mining,binomial_p_val,bootstrap_avg_return_lower_pct,bootstrap_avg_return_upper_pct,walk_forward_status,fdr_q_value,final_score,first_trade_date,last_trade_date
1,ABEV3,r11_day_r11day_ABEV3_open_tp1_0_sl2_0_cap1__3f__positive_days_5d=weak__rsi_14=low__sma20_vs_sma50=near,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Dias positivos nos ultimos 5 pregoes: 0 a 1 dia positivo em 5D; RSI 14 periodos: RSI baixo; MM20 vs MM50: perto do equilibrio,"positive_days_5d,rsi_14,sma20_vs_sma50",36,94.4444,0.8966,19.7200,34,0,16,87.5000,0.7672,6,100.0000,1.0000,14,100.0000,1.0000,10,100.0000,1.0000,INF,4,50.0000,0.3632,3.6550,81.8550,4.83165e-08,0.000782767,0.7414,1.0000,PASSOU 3/3 (87%/100%/100%),1.90094e-05,673.4857,2018-05-08,2026-04-28
2,ABEV3,r11_day_r11day_ABEV3_open_tp1_0_sl2_0_cap1__3f__drawdown_10d=dd_3_6__gap_vs_atr14=rel_soft_dn__sma5_vs_sma20=near,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Queda desde maxima 10D: 3% a 6% abaixo da maxima; Gap vs ATR14: levemente abaixo; MM5 vs MM20: perto do equilibrio,"drawdown_10d,gap_vs_atr14,sma5_vs_sma20",50,92.0000,0.7600,5.7500,46,4,18,88.8889,0.6667,16,87.5000,0.6250,16,100.0000,1.0000,10,100.0000,1.0000,INF,0,0.0000,0.0000,0.0000,81.1615,1.43265e-09,0.000782767,0.5200,0.9400,PASSOU 3/3 (88%/87%/100%),2.24191e-06,669.6340,2018-02-06,2025-12-09
3,ABEV3,r11_day_r11day_ABEV3_open_tp1_0_sl2_0_cap1__3f__gap_filled_prev=gap_dn_filled__prev_ret_20d=dn_3_5__sma20_slope_5d=near,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Gap do candle de referencia preenchido: gap de baixa preenchido; Retorno acumulado 20D: queda de 3% a 5%; Inclinacao da MM20 em 5D: perto do equilibrio,"gap_filled_prev,prev_ret_20d,sma20_slope_5d",48,91.6667,0.7934,7.4339,44,2,10,100.0000,1.0000,18,100.0000,1.0000,20,80.0000,0.5041,10,100.0000,1.0000,INF,2,0.0000,-1.1842,0.0000,80.4464,3.89385e-09,0.000782767,0.5842,0.9592,PASSOU 3/3 (100%/100%/80%),4.297e-06,668.0023,2018-09-26,2026-03-16
1,ALOS3,r11_day_r11day_ALOS3_open_tp1_0_sl2_0_cap1__3f__close_vs_ema200=near__days_since_options_expiry=far__sma20_vs_sma50=up_1_5,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs EMA200: perto do equilibrio; Dias desde vencimento de opcoes B3: muito apos vencimento; MM20 vs MM50: acima leve,"close_vs_ema200,days_since_options_expiry,sma20_vs_sma50",32,87.5000,0.6250,3.5000,28,4,0,0.0000,0.0000,20,80.0000,0.4000,12,100.0000,1.0000,12,100.0000,1.0000,INF,0,0.0000,0.0000,0.0000,71.9314,1.10526e-05,0.00026605,0.2500,0.9062,PASSOU 2/2 (—/80%/100%),0.000526325,640.6189,2021-05-10,2025-04-17
2,ALOS3,r11_day_r11day_ALOS3_open_tp1_0_sl2_0_cap1__3f__close_vs_ema200=near__rsi_14=neutral_high__sma20_vs_sma50=up_1_5,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs EMA200: perto do equilibrio; RSI 14 periodos: RSI neutro alto; MM20 vs MM50: acima leve,"close_vs_ema200,rsi_14,sma20_vs_sma50",32,81.2500,0.4819,2.4579,26,4,0,0.0000,0.0000,16,87.5000,0.6250,16,75.0000,0.3389,12,100.0000,1.0000,INF,0,0.0000,0.0000,0.0000,64.6905,0.000203518,0.00026605,0.1020,0.8347,PASSOU 2/2 (—/87%/75%),0.00280542,617.7122,2021-04-20,2025-04-17
3,ALOS3,r11_day_r11day_ALOS3_open_tp1_0_sl2_0_cap1__3f__close_vs_ema200=near__days_since_options_expiry=far__rsi_14=neutral_high,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs EMA200: perto do equilibrio; Dias desde vencimento de opcoes B3: muito apos vencimento; RSI 14 periodos: RSI neutro alto,"close_vs_ema200,days_since_options_expiry,rsi_14",70,74.2857,0.3403,1.8455,52,14,0,0.0000,0.0000,30,80.0000,0.4000,40,70.0000,0.2956,12,100.0000,1.0000,INF,0,0.0000,0.0000,0.0000,62.9736,2.41549e-05,0.00026605,0.0403,0.6000,PASSOU 2/2 (—/80%/70%),0.000891939,612.0679,2021-02-04,2025-04-17
1,ASAI3,r11_day_r11mini_ASAI3_open_tp2_0_sl2_0_cap3__3f__close_vs_ema21=near__prev_ret_5d_z20=rel_soft_up__range_position_5d=middle,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Fechamento vs EMA21: perto do equilibrio; Retorno 5D em z-score 20D: levemente acima; Posicao no range 5D: fechou no meio,"close_vs_ema21,prev_ret_5d_z20,range_position_5d",42,85.7143,1.5320,9.0429,36,4,0,0.0000,0.0000,28,92.8571,1.8694,14,71.4286,0.8571,10,100.0000,2.0000,INF,0,0.0000,0.0000,0.0000,72.1586,1.83825e-06,0.000782767,1.1510,1.8612,PASSOU 2/2 (—/92%/71%),0.000173117,657.6733,2021-07-12,2025-11-04
2,ASAI3,r11_day_r11mini_ASAI3_open_tp2_0_sl2_0_cap3__3f__drawdown_20d=dd_3_6__range_position_10d=middle__sma20_vs_sma50=near,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Queda desde maxima 20D: 3% a 6% abaixo da maxima; Posicao no range 10D: fechou no meio; MM20 vs MM50: perto do equilibrio,"drawdown_20d,range_position_10d,sma20_vs_sma50",54,81.4815,1.2593,4.4000,44,10,0,0.0000,0.0000,30,86.6667,1.4667,24,75.0000,1.0000,10,100.0000,2.0000,INF,0,0.0000,0.0000,0.0000,69.1638,1.85865e-06,0.000782767,0.8148,1.6296,PASSOU 2/2 (—/86%/75%),0.000173117,645.9993,2021-07-21,2025-11-26
3,ASAI3,r11_day_r11mini_ASAI3_open_tp2_0_sl2_0_cap3__3f__drawdown_20d=dd_3_6__intraday_return_prev=flat__range_position_10d=middle,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Queda desde maxima 20D: 3% a 6% abaixo da maxima; Retorno intraday do candle de referencia: neutro; Posicao no range 10D: fechou no meio,"drawdown_20d,intraday_return_prev,range_position_10d",64,78.1250,1.1250,3.5714,50,14,0,0.0000,0.0000,40,75.0000,1.0000,24,83.3333,1.3333,22,100.0000,2.0000,INF,4,100.0000,2.0000,INF,66.5670,3.4008e-06,1.36482e-06,0.6875,1.5000,PASSOU 2/2 (—/75%/83%),0.000276206,640.8785,2021-04-28,2026-02-10
1,AURE3,r11_day_r11mini_AURE3_open_tp2_0_sl2_0_cap3__3f__days_since_options_expiry=settled__range_position_5d=upper_band__sma5_vs_sma20=up_1_5,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Dias desde vencimento de opcoes B3: ja distante do vencimento; Posicao no range 5D: fechou na metade superior; MM5 vs MM20: acima leve,"days_since_options_expiry,range_position_5d,sma5_vs_sma20",30,80.0000,1.2000,4.0000,24,6,0,0.0000,0.0000,12,66.6667,0.6667,18,88.8889,1.5556,14,100.0000,2.0000,INF,2,0.0000,-2.0000,0.0000,62.6940,0.00050756,9.14331e-05,0.6667,1.7333,PASSOU 2/2 (—/66%/88%),0.00473361,626.9559,2022-10-28,2026-02-25
