ticker,strategy_code,template_code,template_label,entry_rule,exit_mode,target_pct,stop_pct,holding_days,state_size,state_signature,feature_keys,m_trades,m_success,m_win_pct,m_avg_return_pct,m_net_return_pct,m_take_profit,m_stop_loss,m_profit_factor,m_returns,m1_trades,m1_success,m1_win_pct,m1_avg_return_pct,m2_trades,m2_success,m2_win_pct,m2_avg_return_pct,m3_trades,m3_success,m3_win_pct,m3_avg_return_pct,v_trades,v_success,v_win_pct,v_avg_return_pct,v_profit_factor,v_returns,o_trades,o_success,o_win_pct,o_avg_return_pct,o_profit_factor,o_returns,first_trade_date,last_trade_date,wilson_ci95_lower_pct,binomial_p_mining,binomial_p_val,bootstrap_avg_return_lower_pct,bootstrap_avg_return_upper_pct,walk_forward_status,fdr_q_value,final_score
BBSE3,r11_day_r11day_BBSE3_open_tp1_0_sl2_0_cap1__3f__close_vs_sma50=up_5_10__day_of_week=wed__prev_ret_10d=up_1_3,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs MM50: acima forte; Dia da semana: quarta-feira; Retorno acumulado 10D: alta de 1% a 3%,"close_vs_sma50,day_of_week,prev_ret_10d",32,32,100.0000,1.0000,32.0000,32,0,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,14,14,100.0000,1.0000,6,6,100.0000,1.0000,12,12,100.0000,1.0000,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0,0,0.0000,0.0000,0.0000,,2018-12-12,2025-12-03,89.2817,7.73015e-09,0.000782767,1.0000,1.0000,PASSOU 3/3 (100%/100%/100%),6.26165e-06,697.8346
BRAV3,r11_day_r11mini_BRAV3_close_tp3_0_sl2_5_cap3__3f__close_vs_ema9=up_5_10__drawdown_20d=dd_3_6__rebound_5d=reb_15p,close_tp3_0_sl2_5_cap3,close -> alvo 3% / stop 2.5% em ate 3 pregoes,close,target_stop_swing,3.0000,2.5000,3,3,Fechamento vs EMA9: acima forte; Queda desde maxima 20D: 3% a 6% abaixo da maxima; Distancia desde minima 5D: 15%+ acima da minima,"close_vs_ema9,drawdown_20d,rebound_5d",30,28,93.3333,2.6333,79.0000,28,2,16.8000,3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;-2.500000;-2.500000;3.000000;3.000000;3.000000;3.000000,4,4,100.0000,3.0000,14,14,100.0000,3.0000,12,10,83.3333,2.0833,10,10,100.0000,3.0000,INF,3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000,2,2,100.0000,3.0000,INF,3.000000;3.000000,2020-12-09,2026-03-30,78.6762,1.0339e-06,0.000782767,2.0833,3.0000,PASSOU 3/3 (100%/100%/83%),0.000123929,694.6845
RDOR3,r11_day_r11mini_RDOR3_close_tp2_0_sl2_0_cap3__3f__bb_position_20=near_high__prev_ret_3d_z20=rel_up__rebound_10d=reb_10_15,close_tp2_0_sl2_0_cap3,close -> alvo 2% / stop 2% em ate 3 pregoes,close,target_stop_swing,2.0000,2.0000,3,3,Posicao nas Bandas de Bollinger 20D: fechou perto da maxima; Retorno 3D em z-score 20D: acima do normal; Distancia desde minima 10D: 10% a 15% acima da minima,"bb_position_20,prev_ret_3d_z20,rebound_10d",36,34,94.4444,1.7778,64.0000,34,2,17.0000,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;-2.000000;-2.000000,0,0,0.0000,0.0000,14,14,100.0000,2.0000,22,20,90.9091,1.6364,10,10,100.0000,2.0000,INF,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,2,2,100.0000,2.0000,INF,2.000000;2.000000,2021-04-06,2026-04-13,81.8550,4.83165e-08,0.000782767,1.4444,2.0000,PASSOU 2/2 (—/100%/90%),1.90094e-05,689.1097
CSMG3,r11_day_r11mini_CSMG3_open_tp2_0_sl2_0_cap3__3f__month_of_year=q1__sma20_vs_sma50=dn_1_5__vol_ratio_5v20=very_low,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Mes do ano (trimestre): primeiro trimestre; MM20 vs MM50: abaixo leve; Volatilidade 5D vs 20D: muito baixo,"month_of_year,sma20_vs_sma50,vol_ratio_5v20",62,56,90.3226,1.6129,100.0000,56,6,9.3333,-2.000000;-2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;-2.000000;-2.000000;-2.000000;-2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,0,0,0.0000,0.0000,26,24,92.3077,1.6923,36,32,88.8889,1.5556,10,10,100.0000,2.0000,INF,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,0,0,0.0000,0.0000,0.0000,,2021-02-23,2025-02-07,80.4510,1.08137e-10,0.000782767,1.2903,1.8710,PASSOU 2/2 (—/92%/88%),4.29377e-07,683.6649
CXSE3,r11_day_r11day_CXSE3_open_tp1_0_sl2_0_cap1__3f__bb_position_20=near_high__compression_3v20=high__sma20_vs_sma50=near,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Posicao nas Bandas de Bollinger 20D: fechou perto da maxima; Compressao 3D vs 20D: alto; MM20 vs MM50: perto do equilibrio,"bb_position_20,compression_3v20,sma20_vs_sma50",44,42,95.4545,0.8636,38.0000,42,2,10.5000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-2.000000;-2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0,0,0.0000,0.0000,6,6,100.0000,1.0000,38,36,94.7368,0.8421,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,2022-08-08,2026-04-09,84.8647,8.21642e-10,0.000782767,0.6591,1.0000,PASSOU 2/2 (—/100%/94%),1.69048e-06,681.8564
CSMG3,r11_day_r11mini_CSMG3_open_tp2_0_sl2_0_cap3__3f__compression_3v20=low__month_of_year=q1__sma20_vs_sma50=dn_1_5,open_tp2_0_sl2_0_cap3,open -> alvo 2% / stop 2% em ate 3 pregoes,open,target_stop_swing,2.0000,2.0000,3,3,Compressao 3D vs 20D: baixo; Mes do ano (trimestre): primeiro trimestre; MM20 vs MM50: abaixo leve,"compression_3v20,month_of_year,sma20_vs_sma50",44,40,90.9091,1.6364,72.0000,40,4,10.0000,2.000000;2.000000;-2.000000;-2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;-2.000000;-2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,0,0,0.0000,0.0000,28,26,92.8571,1.7143,16,14,87.5000,1.5000,10,10,100.0000,2.0000,INF,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,0,0,0.0000,0.0000,0.0000,,2021-03-11,2025-02-07,78.8405,2.86883e-08,0.000782767,1.2727,1.9091,PASSOU 2/2 (—/92%/87%),1.47383e-05,678.6926
BEEF3,r11_day_r11mini_BEEF3_close_tp2_0_sl2_0_cap3__3f__close_vs_ema200=up_5_10__close_vs_sma200=far_up__positive_days_5d=strong,close_tp2_0_sl2_0_cap3,close -> alvo 2% / stop 2% em ate 3 pregoes,close,target_stop_swing,2.0000,2.0000,3,3,Fechamento vs EMA200: acima forte; Fechamento vs MM200: muito acima; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D,"close_vs_ema200,close_vs_sma200,positive_days_5d",30,28,93.3333,1.7333,52.0000,28,2,14.0000,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;-2.000000;-2.000000,20,20,100.0000,2.0000,2,2,100.0000,2.0000,8,6,75.0000,1.0000,10,10,100.0000,2.0000,INF,2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,2,0,0.0000,-2.0000,0.0000,-2.000000;-2.000000,2019-03-11,2026-02-03,78.6762,1.0339e-06,0.000782767,1.3333,2.0000,PASSOU 2/2 (100%/—/75%),0.000123929,678.6845
BBDC3,r11_day_r11day_BBDC3_open_tp1_0_sl2_0_cap1__3f__close_vs_ema200=up_1_5__close_vs_sma50=up_1_5__sma20_vs_sma50=up_1_5,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs EMA200: acima leve; Fechamento vs MM50: acima leve; MM20 vs MM50: acima leve,"close_vs_ema200,close_vs_sma50,sma20_vs_sma50",40,38,95.0000,0.8500,34.0000,38,2,9.5000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-2.000000;-2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,6,6,100.0000,1.0000,34,32,94.1176,0.8235,0,0,0.0000,0.0000,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0,0,0.0000,0.0000,0.0000,,2019-10-10,2025-04-23,83.4958,6.29232e-09,0.000782767,0.6250,1.0000,PASSOU 2/2 (100%/94%/—),5.97565e-06,677.4769
CXSE3,r11_day_r11day_CXSE3_open_tp1_0_sl2_0_cap1__3f__close_location_prev=middle__close_vs_ema9=up_1_5__sma20_vs_sma50=near,open_tp1_0_sl2_0_cap1,open -> alvo 1% / stop 2% em ate 1 pregao,open,target_stop_swing,1.0000,2.0000,1,3,Posicao do fechamento no candle: fechou no meio; Fechamento vs EMA9: acima leve; MM20 vs MM50: perto do equilibrio,"close_location_prev,close_vs_ema9,sma20_vs_sma50",40,38,95.0000,0.8500,34.0000,38,2,9.5000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-2.000000;-2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0,0,0.0000,0.0000,14,12,85.7143,0.5714,26,26,100.0000,1.0000,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,4,4,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000,2022-02-07,2026-04-10,83.4958,6.29232e-09,0.000782767,0.6250,1.0000,PASSOU 2/2 (—/85%/100%),5.97565e-06,677.4769
PSSA3,r11_day_r11day_PSSA3_close_tp1_0_sl2_0_cap1__3f__close_vs_ema21=dn_1_5__compression_3v20=high__upper_wick_ratio_prev=low,close_tp1_0_sl2_0_cap1,close -> alvo 1% / stop 2% em ate 1 pregao,close,target_stop_swing,1.0000,2.0000,1,3,Fechamento vs EMA21: abaixo leve; Compressao 3D vs 20D: alto; Pavio superior do candle: baixo,"close_vs_ema21,compression_3v20,upper_wick_ratio_prev",40,38,95.0000,0.8500,34.0000,38,2,9.5000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-2.000000;-2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,12,12,100.0000,1.0000,14,14,100.0000,1.0000,14,12,85.7143,0.5714,10,10,100.0000,1.0000,INF,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0,0,0.0000,0.0000,0.0000,,2018-05-29,2025-12-17,83.4958,6.29232e-09,0.000782767,0.6250,1.0000,PASSOU 3/3 (100%/100%/85%),5.97565e-06,677.4769
